         17821262 function calls (15304465 primitive calls) in 61.145 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.001    0.001 _fftlog_multimethods.py:1(<module>)
     1345    0.001    0.000    0.001    0.000 __init__.py:122(unescape)
      119    0.001    0.000    0.001    0.000 typing.py:206(_collect_type_vars)
      618    0.000    0.000    0.001    0.000 _inspect.py:13(ismethod)
        2    0.001    0.000    0.001    0.000 decoder.py:343(raw_decode)
      768    0.001    0.000    0.001    0.000 {method 'getvalue' of '_io.BytesIO' objects}
        1    0.000    0.000    0.001    0.001 errors.py:1(<module>)
        1    0.000    0.000    0.001    0.001 lin.py:15(LinThesaurusCorpusReader)
        1    0.000    0.000    0.001    0.001 propbank.py:476(PropbankInflection)
       14    0.000    0.000    0.001    0.000 core.py:8154(getdoc)
      322    0.000    0.000    0.001    0.000 function_base.py:443(_needs_add_docstring)
        1    0.000    0.000    0.001    0.001 treebank.py:282(<listcomp>)
        1    0.000    0.000    0.001    0.001 css_types.py:351(SelectorList)
       59    0.000    0.000    0.001    0.000 porter.py:571(<lambda>)
        1    0.000    0.000    0.001    0.001 arrayprint.py:1(<module>)
        1    0.000    0.000    0.001    0.001 logic.py:27(Tokens)
        1    0.000    0.000    0.001    0.001 switchboard.py:38(SwitchboardCorpusReader)
        4    0.000    0.000    0.001    0.000 logic.py:102(__init__)
        2    0.000    0.000    0.001    0.000 _regex_core.py:2046(optimise)
       13    0.000    0.000    0.001    0.000 _regex_core.py:3625(rebuild)
     11/7    0.000    0.000    0.001    0.000 _regex_core.py:3488(_compile)
     2224    0.001    0.000    0.001    0.000 {built-in method _sre.unicode_iscased}
        1    0.000    0.000    0.001    0.001 logic.py:69(<listcomp>)
     1175    0.001    0.000    0.001    0.000 HelperClass.py:211(isWeight)
       17    0.000    0.000    0.001    0.000 typing.py:664(__init__)
      614    0.000    0.000    0.001    0.000 _inspect.py:41(iscode)
      120    0.000    0.000    0.001    0.000 re.py:330(filter)
       56    0.000    0.000    0.001    0.000 enum.py:579(_get_mixins_)
       38    0.000    0.000    0.001    0.000 getlimits.py:111(_float_to_str)
        3    0.000    0.000    0.001    0.000 _regex_core.py:335(_compile_firstset)
        1    0.000    0.000    0.001    0.001 punkt.py:1240(PunktSentenceTokenizer)
        9    0.000    0.000    0.001    0.000 _docscrape.py:276(_parse_see_also)
    393/1    0.000    0.000    0.001    0.001 __config__.py:14(_cleanup)
       16    0.000    0.000    0.001    0.000 getlimits.py:458(__new__)
      240    0.000    0.000    0.001    0.000 HelperClass.py:97(recountTf)
1012/1007    0.001    0.000    0.001    0.000 porter.py:126(_is_consonant)
        1    0.000    0.000    0.001    0.001 _binned_statistic.py:1(<module>)
     45/1    0.000    0.000    0.001    0.001 __config__.py:20(<dictcomp>)
        1    0.000    0.000    0.001    0.001 tableau.py:1(<module>)
        1    0.000    0.000    0.001    0.001 css_types.py:183(Selector)
     2093    0.001    0.000    0.001    0.000 inspect.py:2684(default)
        5    0.000    0.000    0.001    0.000 dataclasses.py:843(_hash_add)
      654    0.000    0.000    0.001    0.000 __init__.py:124(_nons)
       18    0.000    0.000    0.001    0.000 textwrap.py:160(_split)
        1    0.000    0.000    0.001    0.001 element.py:121(ContentMetaAttributeValue)
        1    0.000    0.000    0.001    0.001 ssl.py:183(_TLSAlertType)
        1    0.000    0.000    0.001    0.001 doccer.py:205(filldoc)
      387    0.000    0.000    0.001    0.000 enum.py:22(_is_dunder)
        1    0.000    0.000    0.001    0.001 doccer.py:231(unindent_dict)
        1    0.000    0.000    0.001    0.001 _decomp_schur.py:1(<module>)
      130    0.001    0.000    0.001    0.000 sre_compile.py:456(_generate_overlap_table)
        1    0.000    0.000    0.001    0.001 threading.py:1(<module>)
        1    0.000    0.000    0.001    0.001 legacy.py:1(<module>)
        5    0.000    0.000    0.001    0.000 dataclasses.py:638(_hash_fn)
      129    0.001    0.000    0.001    0.000 ssl.py:145(<lambda>)
      802    0.001    0.000    0.001    0.000 sre_compile.py:477(_get_iscased)
       31    0.000    0.000    0.001    0.000 functools.py:518(decorating_function)
     1964    0.001    0.000    0.001    0.000 {built-in method builtins.callable}
        1    0.000    0.000    0.001    0.001 __init__.py:147(EventType)
        1    0.000    0.000    0.001    0.001 featstruct.py:2073(RangeFeature)
       14    0.000    0.000    0.001    0.000 doccer.py:239(unindent_string)
        1    0.001    0.001    0.001    0.001 argparse.py:863(BooleanOptionalAction)
        1    0.000    0.000    0.001    0.001 _globals.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _encoded_words.py:1(<module>)
        2    0.000    0.000    0.001    0.000 _regex_core.py:2137(_flatten_branches)
        3    0.000    0.000    0.001    0.000 _regex_core.py:345(_check_firstset)
        3    0.000    0.000    0.001    0.000 cp1252.py:22(decode)
      279    0.001    0.000    0.001    0.000 _distn_infrastructure.py:763(<genexpr>)
      618    0.000    0.000    0.001    0.000 _inspect.py:26(isfunction)
      245    0.000    0.000    0.001    0.000 porter.py:240(_replace_suffix)
        1    0.000    0.000    0.001    0.001 base64.py:1(<module>)
      814    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1065(get_filename)
        1    0.000    0.000    0.001    0.001 arraysetops.py:1(<module>)
      387    0.000    0.000    0.000    0.000 enum.py:33(_is_sunder)
      113    0.000    0.000    0.000    0.000 {built-in method nt.getcwd}
        1    0.000    0.000    0.000    0.000 ibm4.py:1(<module>)
       32    0.000    0.000    0.000    0.000 arraypad.py:454(_as_pairs)
        3    0.000    0.000    0.000    0.000 {built-in method _codecs.charmap_decode}
        1    0.000    0.000    0.000    0.000 hashlib.py:1(<module>)
        1    0.000    0.000    0.000    0.000 models.py:286(CharsetMatches)
      951    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:412(has_location)
       22    0.000    0.000    0.000    0.000 enum.py:626(_find_new_)
        1    0.000    0.000    0.000    0.000 _regex_core.py:73(RegexFlag)
        5    0.000    0.000    0.000    0.000 re.py:232(findall)
        1    0.000    0.000    0.000    0.000 radau.py:1(<module>)
     1626    0.000    0.000    0.000    0.000 {built-in method builtins.id}
        1    0.000    0.000    0.000    0.000 api.py:24(TaggerI)
       27    0.000    0.000    0.000    0.000 _regex_core.py:1202(parse_escape)
        1    0.000    0.000    0.000    0.000 _fit.py:1(<module>)
        1    0.000    0.000    0.000    0.000 rte.py:1(<module>)
      256    0.000    0.000    0.000    0.000 copy.py:243(_keep_alive)
      120    0.000    0.000    0.000    0.000 sre_parse.py:1066(expand_template)
       14    0.000    0.000    0.000    0.000 {built-in method builtins.dir}
       34    0.000    0.000    0.000    0.000 _regex_core.py:384(make_case_flags)
        6    0.000    0.000    0.000    0.000 typing.py:1194(__getitem__)
        1    0.000    0.000    0.000    0.000 resolution.py:1(<module>)
      814    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:874(create_module)
        1    0.000    0.000    0.000    0.000 pkgutil.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:362(_get_scalar_type_map)
       59    0.000    0.000    0.000    0.000 typing.py:1234(<genexpr>)
       90    0.000    0.000    0.000    0.000 _collections_abc.py:816(get)
        1    0.000    0.000    0.000    0.000 css_types.py:97(ImmutableDict)
      314    0.000    0.000    0.000    0.000 {method 'replace' of 'code' objects}
        1    0.000    0.000    0.000    0.000 __init__.py:496(DetectsXMLParsedAsHTML)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:373(<dictcomp>)
      569    0.000    0.000    0.000    0.000 parser.py:126(clear_cdata_mode)
      672    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1500(<genexpr>)
        2    0.000    0.000    0.000    0.000 os.py:1106(add_dll_directory)
       65    0.000    0.000    0.000    0.000 lexicon.py:153(nextCategory)
      192    0.000    0.000    0.000    0.000 _regex_core.py:4007(get)
        1    0.000    0.000    0.000    0.000 _fitpack2.py:1(<module>)
       18    0.000    0.000    0.000    0.000 abc.py:110(register)
        1    0.000    0.000    0.000    0.000 api.py:20(TokenizerI)
        1    0.000    0.000    0.000    0.000 featurechart.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _dok.py:1(<module>)
        1    0.000    0.000    0.000    0.000 tree.py:28(Tree)
      248    0.000    0.000    0.000    0.000 {built-in method builtins.any}
       14    0.000    0.000    0.000    0.000 hashlib.py:126(__get_openssl_constructor)
      240    0.000    0.000    0.000    0.000 HelperClass.py:9(__init__)
       39    0.000    0.000    0.000    0.000 sre_compile.py:440(_bytes_to_codes)
        1    0.000    0.000    0.000    0.000 numbers.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _multivariate.py:3121(__init__)
        1    0.000    0.000    0.000    0.000 _quadrature.py:1(<module>)
       77    0.000    0.000    0.000    0.000 _docscrape.py:182(_strip)
        2    0.000    0.000    0.000    0.000 {built-in method nt._add_dll_directory}
        1    0.000    0.000    0.000    0.000 _basinhopping.py:1(<module>)
       66    0.000    0.000    0.000    0.000 dataclasses.py:825(_set_new_attribute)
      224    0.000    0.000    0.000    0.000 copy.py:201(_deepcopy_list)
        1    0.000    0.000    0.000    0.000 sexpr.py:1(<module>)
        2    0.000    0.000    0.000    0.000 decorators.py:1(<module>)
     11/7    0.000    0.000    0.000    0.000 _regex_core.py:3421(pack_characters)
      133    0.000    0.000    0.000    0.000 {built-in method builtins.locals}
       18    0.000    0.000    0.000    0.000 core.py:990(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:75(__fix_docstring)
        1    0.000    0.000    0.000    0.000 panlex_swadesh.py:1(<module>)
        2    0.000    0.000    0.000    0.000 _regex_core.py:2120(_compile)
       56    0.000    0.000    0.000    0.000 enum.py:590(_find_data_type)
       32    0.000    0.000    0.000    0.000 typing.py:267(_remove_dups_flatten)
       37    0.000    0.000    0.000    0.000 inspect.py:2714(__str__)
        8    0.000    0.000    0.000    0.000 types.py:69(new_class)
       31    0.000    0.000    0.000    0.000 _regex_core.py:3657(_handle_case_folding)
       16    0.000    0.000    0.000    0.000 functools.py:188(total_ordering)
        1    0.000    0.000    0.000    0.000 __init__.py:63(_delvewheel_init_patch_1_3_1)
       18    0.000    0.000    0.000    0.000 {built-in method _abc._abc_register}
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:421(spec_from_loader)
       13    0.000    0.000    0.000    0.000 _continuous_distns.py:57(_call_super_mom)
        1    0.000    0.000    0.000    0.000 _interface.py:634(_ProductLinearOperator)
      126    0.000    0.000    0.000    0.000 _docscrape.py:429(_str_indent)
       25    0.000    0.000    0.000    0.000 os.py:674(__getitem__)
     1414    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
        4    0.000    0.000    0.000    0.000 typing.py:1208(__getitem_inner__)
        1    0.000    0.000    0.000    0.000 treebank.py:29(TreebankWordTokenizer)
       14    0.000    0.000    0.000    0.000 contextlib.py:252(contextmanager)
        1    0.000    0.000    0.000    0.000 framenet.py:1(<module>)
        1    0.000    0.000    0.000    0.000 hermite.py:1(<module>)
        2    0.000    0.000    0.000    0.000 getlimits.py:491(_init)
        1    0.000    0.000    0.000    0.000 calendar.py:1(<module>)
       26    0.000    0.000    0.000    0.000 core.py:914(__init__)
  223/179    0.000    0.000    0.000    0.000 typing.py:1037(__hash__)
       15    0.000    0.000    0.000    0.000 _regex_core.py:3832(_compile)
        1    0.000    0.000    0.000    0.000 text.py:308(Text)
       40    0.000    0.000    0.000    0.000 getlimits.py:91(_float_to_float)
    39/19    0.000    0.000    0.000    0.000 abc.py:121(__subclasscheck__)
       16    0.000    0.000    0.000    0.000 _axis_nan_policy.py:260(_get_axis_params)
        1    0.000    0.000    0.000    0.000 _multivariate.py:384(__init__)
        1    0.000    0.000    0.000    0.000 sysconfig.py:178(is_python_build)
        1    0.000    0.000    0.000    0.000 sysconfig.py:161(_is_python_source_dir)
      240    0.000    0.000    0.000    0.000 HelperClass.py:160(addToken)
        1    0.000    0.000    0.000    0.000 glob.py:162(_listdir)
        1    0.000    0.000    0.000    0.000 conll.py:1(<module>)
        1    0.000    0.000    0.000    0.000 gzip.py:1(<module>)
       51    0.000    0.000    0.000    0.000 dataclasses.py:664(_is_type)
      7/4    0.000    0.000    0.000    0.000 _regex_core.py:2973(optimise)
        1    0.000    0.000    0.000    0.000 perceptron.py:1(<module>)
        1    0.000    0.000    0.000    0.000 struct.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _differentiable_functions.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _quad_vec.py:1(<module>)
      769    0.000    0.000    0.000    0.000 shelve.py:134(__enter__)
       15    0.000    0.000    0.000    0.000 _bunch.py:6(_validate_names)
    39/19    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
        1    0.000    0.000    0.000    0.000 projectivedependencyparser.py:1(<module>)
      141    0.000    0.000    0.000    0.000 _util.py:176(check_random_state)
        1    0.000    0.000    0.000    0.000 stride_tricks.py:1(<module>)
       14    0.000    0.000    0.000    0.000 dataclasses.py:393(_recursive_repr)
      220    0.000    0.000    0.000    0.000 HelperClass.py:223(removeField)
        1    0.000    0.000    0.000    0.000 _iotools.py:1(<module>)
      209    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
        1    0.000    0.000    0.000    0.000 umath.py:1(<module>)
        4    0.000    0.000    0.000    0.000 enum.py:1000(__invert__)
        1    0.000    0.000    0.000    0.000 linearlogic.py:74(Expression)
        1    0.000    0.000    0.000    0.000 _multivariate.py:4745(__init__)
        1    0.000    0.000    0.000    0.000 pchart.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _multivariate.py:1036(__init__)
        1    0.000    0.000    0.000    0.000 decorators.py:163(decorator)
       24    0.000    0.000    0.000    0.000 porter.py:382(<lambda>)
       11    0.000    0.000    0.000    0.000 doccer.py:136(_doc)
        1    0.000    0.000    0.000    0.000 ssl.py:224(_TLSMessageType)
        1    0.000    0.000    0.000    0.000 sexpr.py:79(__init__)
        1    0.000    0.000    0.000    0.000 wordnet.py:1113(WordNetCorpusReader)
        1    0.000    0.000    0.000    0.000 histograms.py:1(<module>)
        1    0.000    0.000    0.000    0.000 chebyshev.py:1(<module>)
       12    0.000    0.000    0.000    0.000 _regex_core.py:2851(optimise)
        1    0.000    0.000    0.000    0.000 quoprimime.py:1(<module>)
        2    0.000    0.000    0.000    0.000 glob.py:128(_iterdir)
        1    0.000    0.000    0.000    0.000 core.py:6490(__new__)
        1    0.000    0.000    0.000    0.000 __init__.py:4606(<listcomp>)
      310    0.000    0.000    0.000    0.000 typing.py:1031(__eq__)
        1    0.000    0.000    0.000    0.000 decorators.py:108(update_wrapper)
        1    0.000    0.000    0.000    0.000 contextlib.py:76(inner)
        1    0.000    0.000    0.000    0.000 _hessian_update_strategy.py:1(<module>)
       25    0.000    0.000    0.000    0.000 _regex_core.py:394(make_character)
        1    0.000    0.000    0.000    0.000 _data.py:1(<module>)
        1    0.000    0.000    0.000    0.000 collections.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _polybase.py:1(<module>)
        5    0.000    0.000    0.000    0.000 _regex_core.py:4319(_get_required_string)
        1    0.000    0.000    0.000    0.000 _decomp.py:1(<module>)
        1    0.000    0.000    0.000    0.000 sequential.py:492(RegexpTagger)
        1    0.000    0.000    0.000    0.000 nkjp.py:1(<module>)
       12    0.000    0.000    0.000    0.000 datetime.py:461(__new__)
        1    0.000    0.000    0.000    0.000 prover9.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _covariance.py:1(<module>)
      240    0.000    0.000    0.000    0.000 HelperClass.py:72(__init__)
        1    0.000    0.000    0.000    0.000 linearlogic.py:30(__init__)
        1    0.000    0.000    0.000    0.000 decorators.py:44(getinfo)
        2    0.000    0.000    0.000    0.000 genericpath.py:27(isfile)
        2    0.000    0.000    0.000    0.000 os.py:682(__setitem__)
      558    0.000    0.000    0.000    0.000 _docscrape.py:153(__getitem__)
        1    0.000    0.000    0.000    0.000 logic.py:946(Expression)
        1    0.000    0.000    0.000    0.000 hermite_e.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _multivariate.py:1523(__init__)
        1    0.000    0.000    0.000    0.000 _asarray.py:1(<module>)
      502    0.000    0.000    0.000    0.000 enum.py:446(<genexpr>)
       62    0.000    0.000    0.000    0.000 lexicon.py:179(parsePrimitiveCategory)
        7    0.000    0.000    0.000    0.000 ntpath.py:247(dirname)
      314    0.000    0.000    0.000    0.000 overrides.py:128(array_function_dispatch)
        1    0.000    0.000    0.000    0.000 laguerre.py:1(<module>)
        2    0.000    0.000    0.000    0.000 senna.py:1(<module>)
        1    0.000    0.000    0.000    0.000 downloader.py:1285(DownloaderGUI)
        1    0.000    0.000    0.000    0.000 __init__.py:511(<listcomp>)
        1    0.000    0.000    0.000    0.000 _string_helpers.py:1(<module>)
        8    0.000    0.000    0.000    0.000 ntpath.py:206(split)
      208    0.000    0.000    0.000    0.000 socket.py:78(<lambda>)
        1    0.000    0.000    0.000    0.000 distance.py:1747(MetricInfo)
      209    0.000    0.000    0.000    0.000 socket.py:83(<lambda>)
        2    0.000    0.000    0.000    0.000 {built-in method nt.putenv}
        6    0.000    0.000    0.000    0.000 numeric.py:2531(extend_all)
       82    0.000    0.000    0.000    0.000 util.py:51(__init__)
     1067    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
      7/4    0.000    0.000    0.000    0.000 _regex_core.py:3000(_compile)
        1    0.000    0.000    0.000    0.000 suite.py:1(<module>)
      347    0.000    0.000    0.000    0.000 {built-in method numpy.core._multiarray_umath.add_docstring}
        1    0.000    0.000    0.000    0.000 legendre.py:1(<module>)
      825    0.000    0.000    0.000    0.000 inspect.py:2688(annotation)
      263    0.000    0.000    0.000    0.000 _add_newdocs.py:18(add_newdoc)
        1    0.000    0.000    0.000    0.000 ibm4.py:118(IBMModel4)
        4    0.000    0.000    0.000    0.000 typing.py:1188(copy_with)
        1    0.000    0.000    0.000    0.000 records.py:1(<module>)
      433    0.000    0.000    0.000    0.000 HelperClass.py:82(getToken)
        1    0.000    0.000    0.000    0.000 wordlist.py:1(<module>)
        1    0.000    0.000    0.000    0.000 heapq.py:1(<module>)
        1    0.000    0.000    0.000    0.000 models.py:23(CharsetMatch)
        1    0.000    0.000    0.000    0.000 subprocess.py:1258(_get_handles)
      407    0.000    0.000    0.000    0.000 deprecation.py:7(_deprecated)
       22    0.000    0.000    0.000    0.000 util.py:15(lower)
      211    0.000    0.000    0.000    0.000 socket.py:93(<lambda>)
        1    0.000    0.000    0.000    0.000 getlimits.py:1(<module>)
       43    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
       48    0.000    0.000    0.000    0.000 inspect.py:1357(formatannotation)
      210    0.000    0.000    0.000    0.000 socket.py:88(<lambda>)
      656    0.000    0.000    0.000    0.000 enum.py:801(value)
        2    0.000    0.000    0.000    0.000 matfuncs.py:1(<module>)
        6    0.000    0.000    0.000    0.000 core.py:1139(__init__)
       76    0.000    0.000    0.000    0.000 _docscrape.py:50(read)
       18    0.000    0.000    0.000    0.000 arrayprint.py:1575(_array_str_implementation)
      119    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1163(__init__)
        7    0.000    0.000    0.000    0.000 _regex_core.py:1644(lookup_property)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:94(_add_aliases)
        1    0.000    0.000    0.000    0.000 css_parser.py:325(SpecialPseudoPattern)
        7    0.000    0.000    0.000    0.000 __init__.py:76(CFUNCTYPE)
      220    0.000    0.000    0.000    0.000 HelperClass.py:220(setField)
       12    0.000    0.000    0.000    0.000 _regex_core.py:2880(_compile)
        2    0.000    0.000    0.000    0.000 hashlib.py:82(__get_builtin_constructor)
        1    0.000    0.000    0.000    0.000 _common.py:1(<module>)
       64    0.000    0.000    0.000    0.000 _docscrape.py:469(_str_section)
        1    0.000    0.000    0.000    0.000 {function SeedSequence.generate_state at 0x000002C4E09A8280}
        1    0.000    0.000    0.000    0.000 pydoc.py:1809(Helper)
        1    0.000    0.000    0.000    0.000 mixins.py:1(<module>)
        2    0.000    0.000    0.000    0.000 _regex_core.py:2096(pack_characters)
        1    0.000    0.000    0.000    0.000 tempfile.py:1(<module>)
        1    0.000    0.000    0.000    0.000 einsumfunc.py:1(<module>)
        1    0.000    0.000    0.000    0.000 nombank.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _orthogonal.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _polyint.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ufunclike.py:1(<module>)
        2    0.000    0.000    0.000    0.000 _regex_core.py:2097(<listcomp>)
        1    0.000    0.000    0.000    0.000 _multivariate.py:4279(__init__)
      489    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
        1    0.000    0.000    0.000    0.000 bisect.py:1(<module>)
        1    0.000    0.000    0.000    0.000 format.py:1(<module>)
      488    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
        1    0.000    0.000    0.000    0.000 _ufunc_config.py:1(<module>)
        1    0.000    0.000    0.000    0.000 result.py:24(TestResult)
        1    0.000    0.000    0.000    0.000 _tukeylambda_stats.py:1(<module>)
        2    0.000    0.000    0.000    0.000 base.py:1(<module>)
        2    0.000    0.000    0.000    0.000 common.py:1(<module>)
      158    0.000    0.000    0.000    0.000 {method 'copy' of 'dict' objects}
        2    0.000    0.000    0.000    0.000 _constants.py:1(<module>)
       34    0.000    0.000    0.000    0.000 _regex_core.py:3503(_flush_characters)
        1    0.000    0.000    0.000    0.000 triangulation.py:1(<module>)
      120    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
        1    0.000    0.000    0.000    0.000 _bsr.py:1(<module>)
        4    0.000    0.000    0.000    0.000 _pep440.py:292(__init__)
       16    0.000    0.000    0.000    0.000 arraypad.py:86(_pad_simple)
      868    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
       11    0.000    0.000    0.000    0.000 decorator.py:127(update)
       20    0.000    0.000    0.000    0.000 textwrap.py:473(indent)
        1    0.000    0.000    0.000    0.000 _datasource.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _cubic.py:1(<module>)
       76    0.000    0.000    0.000    0.000 _docscrape.py:16(strip_blank_lines)
        1    0.000    0.000    0.000    0.000 _differentialevolution.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _discrete_distns.py:896(planck_gen)
       16    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(round_)
      974    0.000    0.000    0.000    0.000 {built-in method builtins.globals}
        1    0.000    0.000    0.000    0.000 _bunch.py:1(<module>)
  136/135    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
        1    0.000    0.000    0.000    0.000 _htmlparser.py:1(<module>)
      163    0.000    0.000    0.000    0.000 _docscrape.py:390(<genexpr>)
        1    0.000    0.000    0.000    0.000 _dual_annealing.py:1(<module>)
        1    0.000    0.000    0.000    0.000 rule.py:1(<module>)
        1    0.000    0.000    0.000    0.000 nonprojectivedependencyparser.py:1(<module>)
       11    0.000    0.000    0.000    0.000 __init__.py:348(drop_tag)
        2    0.000    0.000    0.000    0.000 sysconfig.py:64(_getuserbase)
        1    0.000    0.000    0.000    0.000 _lxml.py:1(<module>)
        1    0.000    0.000    0.000    0.000 api.py:18(ChunkParserI)
        1    0.000    0.000    0.000    0.000 smoothing.py:1(<module>)
       16    0.000    0.000    0.000    0.000 _docscrape.py:477(_str_see_also)
       66    0.000    0.000    0.000    0.000 re.py:269(escape)
       48    0.000    0.000    0.000    0.000 lapack.py:861(backtickrepl)
       18    0.000    0.000    0.000    0.000 arrayprint.py:506(wrapper)
        1    0.000    0.000    0.000    0.000 ipipan.py:1(<module>)
      324    0.000    0.000    0.000    0.000 _internal.py:881(<genexpr>)
        4    0.000    0.000    0.000    0.000 _regex_core.py:1919(get_required_string)
        1    0.000    0.000    0.000    0.000 css_types.py:147(Namespaces)
        1    0.000    0.000    0.000    0.000 css_parser.py:362(_Selector)
        1    0.000    0.000    0.000    0.000 subprocess.py:1225(_close_pipe_fds)
        1    0.000    0.000    0.000    0.000 ycoe.py:1(<module>)
       33    0.000    0.000    0.000    0.000 sre_parse.py:868(_parse_flags)
        1    0.000    0.000    0.000    0.000 _coo.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _compression.py:1(<module>)
       12    0.000    0.000    0.000    0.000 _regex_core.py:511(apply_quantifier)
        1    0.000    0.000    0.000    0.000 vocabulary.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _norm.py:1(<module>)
        1    0.000    0.000    0.000    0.000 timit.py:1(<module>)
        1    0.000    0.000    0.000    0.000 simple.py:1(<module>)
        1    0.000    0.000    0.000    0.000 css_match.py:378(Inputs)
        1    0.000    0.000    0.000    0.000 nps_chat.py:1(<module>)
      302    0.000    0.000    0.000    0.000 __init__.py:402(<genexpr>)
        1    0.000    0.000    0.000    0.000 mstats_extras.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _compat_pickle.py:1(<module>)
        2    0.000    0.000    0.000    0.000 lsoda.py:1(<module>)
        1    0.000    0.000    0.000    0.000 css_match.py:1498(SoupSieve)
        1    0.000    0.000    0.000    0.000 css_parser.py:305(SelectorPattern)
        1    0.000    0.000    0.000    0.000 _regex_core.py:2423(max_width)
       13    0.000    0.000    0.000    0.000 re.py:324(_subx)
        1    0.000    0.000    0.000    0.000 mte.py:1(<module>)
       16    0.000    0.000    0.000    0.000 _type_aliases.py:58(bitname)
        1    0.000    0.000    0.000    0.000 _endian.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _constraints.py:1(<module>)
        1    0.000    0.000    0.000    0.000 categorized_sents.py:1(<module>)
        1    0.000    0.000    0.000    0.000 css_types.py:257(SelectorAttribute)
        4    0.000    0.000    0.000    0.000 _regex_core.py:2424(<genexpr>)
        1    0.000    0.000    0.000    0.000 drt.py:198(DrtExpression)
        9    0.000    0.000    0.000    0.000 subprocess.py:196(Close)
        1    0.000    0.000    0.000    0.000 _base.py:60(spmatrix)
        4    0.000    0.000    0.000    0.000 __init__.py:2071(getLogger)
        1    0.000    0.000    0.000    0.000 ibm3.py:1(<module>)
        3    0.000    0.000    0.000    0.000 _regex_core.py:3592(max_width)
        1    0.000    0.000    0.000    0.000 table.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _interpolate.py:111(interp2d)
      317    0.000    0.000    0.000    0.000 {built-in method sys.intern}
        1    0.000    0.000    0.000    0.000 dependency.py:1(<module>)
        4    0.000    0.000    0.000    0.000 ntpath.py:563(abspath)
        1    0.000    0.000    0.000    0.000 radau.py:179(Radau)
        1    0.000    0.000    0.000    0.000 indian.py:1(<module>)
        1    0.000    0.000    0.000    0.000 stanford.py:1(<module>)
        7    0.000    0.000    0.000    0.000 _arrays.py:57(_matrix_doc_to_array)
        1    0.000    0.000    0.000    0.000 HelperClass.py:281(ShelveDB)
        1    0.000    0.000    0.000    0.000 latin_1.py:1(<module>)
        3    0.000    0.000    0.000    0.000 {built-in method builtins.sum}
        4    0.000    0.000    0.000    0.000 polynomial.py:1226(__init__)
        1    0.000    0.000    0.000    0.000 traceback.py:1(<module>)
        1    0.000    0.000    0.000    0.000 paice.py:1(<module>)
      266    0.000    0.000    0.000    0.000 _regex_core.py:1854(__init__)
        4    0.000    0.000    0.000    0.000 logic.py:134(<listcomp>)
       40    0.000    0.000    0.000    0.000 dataclasses.py:346(field)
        1    0.000    0.000    0.000    0.000 _trustregion_ncg.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ibm5.py:1(<module>)
      323    0.000    0.000    0.000    0.000 HelperClass.py:12(<lambda>)
      456    0.000    0.000    0.000    0.000 {built-in method sys.getrecursionlimit}
       16    0.000    0.000    0.000    0.000 porter.py:198(_has_positive_measure)
        1    0.000    0.000    0.000    0.000 drt.py:71(__init__)
